,,,,,,,,,,,,bdhp-v4.6.0,bdhp-v4.6.0-saas,,,,,,,,,,,,,,,,,,,,,,,,
bdhp-iqecs,bdhp-iqecs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,PHP,bdhp-iqecs,Dockerfile,6.32.1,6.24.20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-iqecs && git pull origin dev && git fetch && git branch,cd ../bdhp-iqecs && git checkout -b 6.32.1-tag-as-branch 6.32.1,cd ../bdhp-iqecs && git checkout -b 6.24.20-tag-as-branch 6.24.20,version=6.32.1,version=6.24.20,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=6.32.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-iqecs:6.32.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-iqecs\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=6.24.20"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-iqecs:6.24.20"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-iqecs\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-iqecs:6.32.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-iqecs__6.32.1.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-iqecs:6.24.20"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-iqecs__6.24.20.json""","cd ../bdhp-iqecs
fossa analyze -T BDHP -t bdhp-iqecs -r 6.32.1","cd ../bdhp-iqecs
fossa analyze -T BDHP -t bdhp-iqecs -r 6.24.20",6.17.1,6.17.1,FALSE,bdhp-k8s-cluster-config-sync-operator,2.6.5,,
bdhp-k8s-cluster-config-sync-operator,bdhp-k8s-cluster-config-sync-operator,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Python,bdhp-k8s-cluster-config-sync-operator,k8s-cluster-config-sync-operator\Dockerfile,,2.6.5,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-k8s-cluster-config-sync-operator && git pull origin dev && git fetch && git branch,,cd ../bdhp-k8s-cluster-config-sync-operator && git checkout -b 2.6.5-tag-as-branch,,version=2.6.5,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=2.6.5"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-k8s-cluster-config-sync-operator:2.6.5"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-k8s-cluster-config-sync-operator\k8s-cluster-config-sync-operator\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-k8s-cluster-config-sync-operator:2.6.5"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-k8s-cluster-config-sync-operator__2.6.5.json""",,"cd ../bdhp-k8s-cluster-config-sync-operator
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-k8s-cluster-config-sync-operator -r 2.6.5",,2.6.1,FALSE,,,,
bdhp-keycloak,bdhp-keycloak-mysql,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"bin: Shell
keycloak-themes: JS
spi: JAR
translations:PHP",bdhp-keycloak-mysql,keycloak\Dockerfile,5.9.5,,,,,,,,,,,version=5.9.5,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.9.5"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-mysql:5.9.5"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-keycloak\keycloak\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-mysql:5.9.5"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-keycloak-mysql__5.9.5.json""",,,,5.5.0,,FALSE,bdhp-keycloak-postgresql,5.9.5,,
bdhp-keycloak,bdhp-keycloak-postgresql,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"bin: Shell
keycloak-themes: JS
spi: JAR
translations:PHP",bdhp-keycloak-postgresql,keycloak\Dockerfile,5.9.5,5.9.5,TRUE,,,,,,,,,version=5.9.5,version=5.9.5,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=5.9.5"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-postgresql:5.9.5"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-keycloak\keycloak\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=5.9.5"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-postgresql:5.9.5"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-keycloak\keycloak\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-postgresql:5.9.5"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-keycloak-postgresql__5.9.5.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-keycloak-postgresql:5.9.5"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-keycloak-postgresql__5.9.5.json""",,,5.5.0,0,FALSE,bdhp-lightning-bolt,4.17.0,,
bdhp-lightning-bolt,bdhp-lightning-bolt,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-lightning-bolt,LightningBoltService\Dockerfile,,4.17.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-lightning-bolt && git pull origin dev && git fetch && git branch,,cd ../bdhp-lightning-bolt && git checkout -b 4.17.0-tag-as-branch,,version=4.17.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.17.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-lightning-bolt:4.17.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-lightning-bolt\LightningBoltService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-lightning-bolt:4.17.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-lightning-bolt__4.17.0.json""",,"cd ../bdhp-lightning-bolt
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-lightning-bolt -r 4.17.0",,4.7.4,FALSE,bdhp-location,4.30.1,,
bdhp-location,bdhp-location,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-location,LocationService\Dockerfile,4.36.0,4.30.1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-location && git pull origin dev && git fetch && git branch,cd ../bdhp-location && git checkout -b 4.36.0-tag-as-branch 4.36.0,cd ../bdhp-location && git checkout -b 4.30.1-tag-as-branch 4.30.1,version=4.36.0,version=4.30.1,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.36.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-location:4.36.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-location\LocationService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.30.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-location:4.30.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-location\LocationService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-location:4.36.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-location__4.36.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-location:4.30.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-location__4.30.1.json""","cd ../bdhp-location
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-location -r 4.36.0","cd ../bdhp-location
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-location -r 4.30.1",4.19.9,4.19.9,FALSE,bdhp-manual-adt-backend,4.16.0,,
bdhp-manual-adt-backend,bdhp-manual-adt-backend,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-manual-adt-backend,AdmitPatientService\Dockerfile,4.16.0,4.16.0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-manual-adt-backend && git pull origin dev && git fetch && git branch,cd ../bdhp-manual-adt-backend && git checkout -b 4.16.0-tag-as-branch 4.16.0,cd ../bdhp-manual-adt-backend && git checkout -b 4.16.0-tag-as-branch 4.16.0,version=4.16.0,version=4.16.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.16.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-backend:4.16.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-manual-adt-backend\AdmitPatientService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.16.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-backend:4.16.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-manual-adt-backend\AdmitPatientService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-backend:4.16.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-manual-adt-backend__4.16.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-backend:4.16.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-manual-adt-backend__4.16.0.json""","cd ../bdhp-manual-adt-backend
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-manual-adt-backend -r 4.16.0","cd ../bdhp-manual-adt-backend
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-manual-adt-backend -r 4.16.0",4.9.9,4.9.9,FALSE,bdhp-manual-adt-ui,4.9.1,,
bdhp-manual-adt-ui,bdhp-manual-adt-ui,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,JavaScript,bdhp-manual-adt-ui,ManualAdtUIService\Dockerfile,4.9.1,4.9.1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-manual-adt-ui && git pull origin dev && git fetch && git branch,cd ../bdhp-manual-adt-ui && git checkout -b 4.9.1-tag-as-branch 4.9.1,cd ../bdhp-manual-adt-ui && git checkout -b 4.9.1-tag-as-branch 4.9.1,version=4.9.1,version=4.9.1,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.9.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-ui:4.9.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-manual-adt-ui\ManualAdtUIService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.9.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-ui:4.9.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-manual-adt-ui\ManualAdtUIService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-ui:4.9.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-manual-adt-ui__4.9.1.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-manual-adt-ui:4.9.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-manual-adt-ui__4.9.1.json""","cd ../bdhp-manual-adt-ui/ManualAdtUIService/web
npm i --lockfile-version 2 --package-lock-only
cd ../..
fossa analyze -T BDHP -t bdhp-manual-adt-ui -r 4.9.1","cd ../bdhp-manual-adt-ui/ManualAdtUIService/web
npm i --lockfile-version 2 --package-lock-only
cd ../..
fossa analyze -T BDHP -t bdhp-manual-adt-ui -r 4.9.1",4.3.19,4.3.19,FALSE,,,,
bdhp-metrics,bdhp-metrics,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Python,bdhp-metrics,Metrics\Dockerfile,4.3.0,,,FALSE,,FALSE,TRUE,TRUE,cd ../bdhp-metrics && git pull origin dev && git fetch && git branch,cd ../bdhp-metrics && git checkout -b 4.3.0-tag-as-branch 4.3.0,,version=4.3.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.3.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-metrics:4.3.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-metrics\Metrics\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-metrics:4.3.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-metrics__4.3.0.json""",,"cd ../bdhp-metrics
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-metrics -r 4.3.0",,4.2.3,,FALSE,bdhp-mirth-sidecar,4.25.11,,
bdhp-mirth,bdhp-mirth-sidecar,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,JAR/Shell,bdhp-mirth-sidecar,bdhp-mirth-sidecar\Dockerfile,4.29.0,4.25.11,FALSE,,,,,,,,,version=4.29.0,version=4.25.11,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.29.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-mirth-sidecar:4.29.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-mirth\bdhp-mirth-sidecar\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.25.11"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-mirth-sidecar:4.25.11"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-mirth\bdhp-mirth-sidecar\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-mirth-sidecar:4.29.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-mirth-sidecar__4.29.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-mirth-sidecar:4.25.11"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-mirth-sidecar__4.25.11.json""",,,4.25.0,4.25.0,FALSE,,,,
bdhp-neo4j-cluster,bdhp-neo4j-cluster,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Shell,bdhp-neo4j-cluster,neo4j\Dockerfile,1.6.1,,,,,,,,,,,version=1.6.1,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=1.6.1"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-neo4j-cluster:1.6.1"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-neo4j-cluster\neo4j\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-neo4j-cluster:1.6.1"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-neo4j-cluster__1.6.1.json""",,,,1.4.9,,FALSE,,,,
bdhp-ntpd,bdhp-ntpd,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Dockerfile,bdhp-ntpd,ntpd\Dockerfile,1.16.3,,,,,,,,,,,version=1.16.3,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=1.16.3"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ntpd:1.16.3"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-ntpd\ntpd\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-ntpd:1.16.3"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-ntpd__1.16.3.json""",,,,1.16.3,,FALSE,bdhp-observation,4.37.2,,
bdhp-observation,bdhp-observation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-observation,ObservationService\Dockerfile,4.38.0,4.37.2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-observation && git pull origin dev && git fetch && git branch,cd ../bdhp-observation && git checkout -b 4.38.0-tag-as-branch 4.38.0,cd ../bdhp-observation && git checkout -b 4.37.2-tag-as-branch 4.37.2,version=4.38.0,version=4.37.2,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.38.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-observation:4.38.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-observation\ObservationService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.37.2"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-observation:4.37.2"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-observation\ObservationService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-observation:4.38.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-observation__4.38.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-observation:4.37.2"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-observation__4.37.2.json""","cd ../bdhp-observation
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-observation -r 4.38.0","cd ../bdhp-observation
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-observation -r 4.37.2",4.22.8,4.22.8,FALSE,bdhp-on-call-scheduling,4.14.0,,
bdhp-on-call-scheduling,bdhp-on-call-scheduling,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-on-call-scheduling,OnCallSchedulingService\Dockerfile,,4.14.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-on-call-scheduling && git pull origin dev && git fetch && git branch,,cd ../bdhp-on-call-scheduling && git checkout -b 4.14.0-tag-as-branch,,version=4.14.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.14.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-on-call-scheduling:4.14.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-on-call-scheduling\OnCallSchedulingService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-on-call-scheduling:4.14.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-on-call-scheduling__4.14.0.json""",,"cd ../bdhp-on-call-scheduling
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-on-call-scheduling -r 4.14.0",,4.7.4,FALSE,bdhp-organization,4.25.0,,
bdhp-organization,bdhp-organization,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-organization,OrganizationService\Dockerfile,,4.25.0,,,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-organization && git pull origin dev && git fetch && git branch,,cd ../bdhp-organization && git checkout -b 4.25.0-tag-as-branch 4.25.0,,version=4.25.0,,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.25.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-organization:4.25.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-organization\OrganizationService\Dockerfile""",,"New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-organization:4.25.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-organization__4.25.0.json""",,"cd ../bdhp-organization
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-organization -r 4.25.0",,4.15.6,FALSE,bdhp-patient,4.41.0,,
bdhp-patient,bdhp-patient,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,C#,bdhp-patient,PatientService\Dockerfile,4.42.0,4.41.0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,cd ../bdhp-patient && git pull origin dev && git fetch && git branch,cd ../bdhp-patient && git checkout -b 4.42.0-tag-as-branch 4.42.0,cd ../bdhp-patient && git checkout -b 4.41.0-tag-as-branch 4.41.0,version=4.42.0,version=4.41.0,"Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0"" `
    -tags ""version=4.42.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-patient:4.42.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-patient\PatientService\Dockerfile""","Invoke-Snyk-Container-Monitor `
    -organization ""bdhp-v4.6.0-saas"" `
    -tags ""version=4.41.0"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-patient:4.41.0"" `
    -dockerfilePath ""\repos\github-hillrom\bdhp\bdhp-patient\PatientService\Dockerfile""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-patient:4.42.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\On-Prem\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-patient__4.42.0.json""","New-Snyk-Container-Sbom `
    -organization ""bdhp-v4.6.0-saas"" `
    -sbomFormat ""cyclonedx1.6+json"" `
    -image ""bdhpcr.azurecr.io/images/bdhp-patient:4.41.0"" `
    -outputPath ""\Users\mallmaj\Desktop\BDHP-4.6.0\SAAS\SBOMs\bdhp_container\Snyk_container_SBOM_bdhpcr.azurecr.io__images_bdhp-patient__4.41.0.json""","cd ../bdhp-patient
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-patient -r 4.42.0","cd ../bdhp-patient
dotnet clean -c Release
dotnet build -c Release
fossa analyze -T BDHP -t bdhp-patient -r 4.41.0",4.20.8,4.20.8,FALSE,bdhp-practitioner,4.29.0,,
